+----------+----------------------------------------------------------+------+----------+-----------+-----+-------------+-------+
|    id    |                          title                           | year | movie_id | person_id | id  |    name     | birth |
+----------+----------------------------------------------------------+------+----------+-----------+-----+-------------+-------+
| 83833    | Diner                                                    | 1982 | 83833    | 102       | 102 | Kevin Bacon | 1958  |
| 83962    | Forty Deuce                                              | 1982 | 83962    | 102       | 102 | Kevin Bacon | 1958  |
| 85494    | Enormous Changes at the Last Minute                      | 1983 | 85494    | 102       | 102 | Kevin Bacon | 1958  |
| 87277    | Footloose                                                | 1984 | 87277    | 102       | 102 | Kevin Bacon | 1958  |
| 91814    | Quicksilver                                              | 1986 | 91814    | 102       | 102 | Kevin Bacon | 1958  |
| 92967    | End of the Line                                          | 1987 | 92967    | 102       | 102 | Kevin Bacon | 1958  |
| 93403    | Lemon Sky                                                | 1988 | 93403    | 102       | 102 | Kevin Bacon | 1958  |
| 94318    | White Water Summer                                       | 1987 | 94318    | 102       | 102 | Kevin Bacon | 1958  |
| 96094    | She's Having a Baby                                      | 1988 | 96094    | 102       | 102 | Kevin Bacon | 1958  |
| 96926    | The Big Picture                                          | 1989 | 96926    | 102       | 102 | Kevin Bacon | 1958  |
| 97125    | Criminal Law                                             | 1988 | 97125    | 102       | 102 | Kevin Bacon | 1958  |
| 99582    | Flatliners                                               | 1990 | 99582    | 102       | 102 | Kevin Bacon | 1958  |
| 100814   | Tremors                                                  | 1990 | 100814   | 102       | 102 | Kevin Bacon | 1958  |
| 102011   | He Said, She Said                                        | 1991 | 102011   | 102       | 102 | Kevin Bacon | 1958  |
| 102733   | Pyrates                                                  | 1991 | 102733   | 102       | 102 | Kevin Bacon | 1958  |
| 102741   | Queens Logic                                             | 1991 | 102741   | 102       | 102 | Kevin Bacon | 1958  |
| 104257   | A Few Good Men                                           | 1992 | 104257   | 102       | 102 | Kevin Bacon | 1958  |
| 109067   | The Air Up There                                         | 1994 | 109067   | 102       | 102 | Kevin Bacon | 1958  |
| 110997   | The River Wild                                           | 1994 | 110997   | 102       | 102 | Kevin Bacon | 1958  |
| 112384   | Apollo 13                                                | 1995 | 112384   | 102       | 102 | Kevin Bacon | 1958  |
| 112453   | Balto                                                    | 1995 | 112453   | 102       | 102 | Kevin Bacon | 1958  |
| 113870   | Murder in the First                                      | 1995 | 113870   | 102       | 102 | Kevin Bacon | 1958  |
| 117665   | Sleepers                                                 | 1996 | 117665   | 102       | 102 | Kevin Bacon | 1958  |
| 118980   | Digging to China                                         | 1997 | 118980   | 102       | 102 | Kevin Bacon | 1958  |
| 119896   | Picture Perfect                                          | 1997 | 119896   | 102       | 102 | Kevin Bacon | 1958  |
| 120303   | Telling Lies in America                                  | 1997 | 120303   | 102       | 102 | Kevin Bacon | 1958  |
| 120890   | Wild Things                                              | 1998 | 120890   | 102       | 102 | Kevin Bacon | 1958  |
| 123191   | New York Skyride                                         | 1994 | 123191   | 102       | 102 | Kevin Bacon | 1958  |
| 156812   | My Dog Skip                                              | 2000 | 156812   | 102       | 102 | Kevin Bacon | 1958  |
| 164052   | Hollow Man                                               | 2000 | 164052   | 102       | 102 | Kevin Bacon | 1958  |
| 164181   | Stir of Echoes                                           | 1999 | 164181   | 102       | 102 | Kevin Bacon | 1958  |
| 280380   | Trapped                                                  | 2002 | 280380   | 102       | 102 | Kevin Bacon | 1958  |
| 327056   | Mystic River                                             | 2003 | 327056   | 102       | 102 | Kevin Bacon | 1958  |
| 361127   | The Woodsman                                             | 2004 | 361127   | 102       | 102 | Kevin Bacon | 1958  |
| 373450   | Where the Truth Lies                                     | 2005 | 373450   | 102       | 102 | Kevin Bacon | 1958  |
| 388213   | Loverboy                                                 | 2005 | 388213   | 102       | 102 | Kevin Bacon | 1958  |
| 485851   | The Air I Breathe                                        | 2007 | 485851   | 102       | 102 | Kevin Bacon | 1958  |
| 790736   | R.I.P.D.                                                 | 2013 | 790736   | 102       | 102 | Kevin Bacon | 1958  |
| 804461   | Death Sentence                                           | 2007 | 804461   | 102       | 102 | Kevin Bacon | 1958  |
| 822849   | Rails & Ties                                             | 2007 | 822849   | 102       | 102 | Kevin Bacon | 1958  |
| 870111   | Frost/Nixon                                              | 2008 | 870111   | 102       | 102 | Kevin Bacon | 1958  |
| 1112291  | Turn It Up!                                              | 2014 | 1112291  | 102       | 102 | Kevin Bacon | 1958  |
| 1185431  | My One and Only                                          | 2009 | 1185431  | 102       | 102 | Kevin Bacon | 1958  |
| 1270798  | X-Men: First Class                                       | 2011 | 1270798  | 102       | 102 | Kevin Bacon | 1958  |
| 13075730 | One Way                                                  | 2022 | 13075730 | 102       | 102 | Kevin Bacon | 1958  |
